,cell_id,Cell_Depth,Cell_Layer,Cell_TargetedBrainArea,cell_type,firing_rate,ap_threshold,ap_duration,mean_vm,std_vm,fft_low,fft_high,wp_amplitude_pre_FW,wp_amplitude_post_FW,vm_amplitude_pre_FW,vm_amplitude_post_FW,ap_fr_pre_FW,ap_fr_post_FW,wp_amplitude_pre_AT,wp_amplitude_post_AT,vm_amplitude_pre_AT,vm_amplitude_post_AT,ap_fr_pre_AT,ap_fr_post_AT
45,SC910_1,335.0,L2/3,C2,EXC,7.804347826086956,-0.04329519778331914,0.45320334261838446,-0.0524010808866898,0.003450801766309227,0.0003918022461732386,7.04927980727906e-05,0.625384414135231,12.903296298335647,-63.19201616810452,-64.17648337865717,0.0,0.0,7.664557162351131,14.77564652187108,-63.94962694549389,-56.575290770385195,0.0,0.64548403233875
46,SC911_1,225.0,L2/3,C2,EXC,49.9,-0.042633840191131214,0.23680694722778892,-0.05440378045486327,0.006485491488752567,0.0006924720541599458,0.00012976398100140066,3.4457600369799097,1.9150626734683358,-66.1752990330916,-60.576742623155795,0.0,0.0,19.5985565662384,23.08590029229058,-55.774917104604604,-44.96805009150454,0.0,28.014007003501757
47,SC912_1,198.0,L2/3,C2,EXC,24.933333333333334,-0.04431513109832564,0.23318850267379682,-0.056443371562086855,0.006522525515791341,0.0008936752128641055,9.630564858346109e-05,1.8378410529177698,5.616763793771915,-61.46266254063516,-63.34724959649003,0.0,0.0,22.21496998099393,24.804156713855352,-61.0454376614987,-53.925328434566126,0.0,0.0
48,SC913_1,516.0,L4,C2,EXC,8.826777086135232,-0.041168752217039854,0.7685933316008711,-0.0547557108467496,0.004901344912903766,0.0006143115174025968,6.432689274849364e-05,126.76043070465303,134.76933226203056,-58.830780972691905,-58.118750145906716,1.6021236036484532,1.717235168278907,14.108778449694313,20.791099490059747,-61.226507062618175,-54.1205105156745,0.0,8.893335556667223
49,SC914_1,500.0,L4,C2,EXC,8.826777086135232,-0.041168752217039854,0.7685933316008711,-0.0547557108467496,0.004901344912903766,0.0006143115174025968,6.432689274849364e-05,126.76043070465303,134.76933226203056,-58.83078097269191,-58.118750145906716,1.6021236036484534,1.717235168278907,8.893461538461537,13.807777777777778,-57.234932047432046,-54.83605396448224,1.5400015400015403,0.7696155770192789
50,SC915_1,200.0,L2/3,C2,EXC,8.826777086135232,-0.04116875221703986,0.768593331600871,-0.0547557108467496,0.004901344912903766,0.0006143115174025968,6.432689274849364e-05,126.76043070465303,134.76933226203056,-58.83078097269191,-58.11875014590671,1.6021236036484532,1.7172351682789073,2.9148660805490256,11.755729361404606,-60.01961475364253,-54.213224146795625,0.0,0.0
51,SC916_1,150.0,L2/3,C2,EXC,28.90740740740741,-0.03944939877851173,0.37062780269058293,-0.04802449771318283,0.005077176716271666,0.0006442727147514806,8.831450336171869e-05,-1.558666871221447,5.777934134131982,-66.53932311202801,-69.75583296865884,0.0,0.0,11.621465848131873,21.34735854858718,-62.18754006022619,-51.81698198295347,1.4648795136600017,14.641467075000916
52,SC917_1,190.0,L2/3,C2,EXC,1.3870967741935485,-0.042345020112088655,0.40813953488372096,-0.05339005037708527,0.0031861115283201105,0.0003942945320682891,3.6355366640211064e-05,-1.2866916321871604,5.190940232193258,-73.22146005251314,-69.14014076435777,0.0,0.0,8.05127072050021,16.692293800737097,-70.10930172961423,-57.94048610843883,0.0,0.0
53,SC918_1,300.0,L2/3,C2,EXC,6.983333333333333,-0.04046095104075707,0.373508353221957,-0.055075555091603966,0.006662567791980077,0.000925701392578275,8.73990352491357e-05,1.4911255649098147,5.172899838665072,-59.503024193548384,-59.584062942819045,0.0,0.0,16.730558379400858,20.78601512261111,-57.00805264787704,-57.10105727579699,0.455000455000455,0.0
54,SC919_1,160.0,L2/3,C2,EXC,6.970588235294118,-0.039366219626351694,0.49873417721518976,-0.05195659955138418,0.004926131779310382,0.0006302701147127709,0.00010219806627372388,1.2478392838929806,7.393244981263813,-57.17030804576144,-61.3514072268067,0.0,0.0,13.344274293804165,18.327785927115542,-59.28948923923923,-58.080841108054024,0.0,0.0
